,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,5a4709a2348f58a7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
1,0b5b1309df2f5627,True,1.0,1.0,1.0,1.0,0.6841161953022165,1.0,1.0,1.0,1.0,0.9012863110319427
2,2c67391395c65d6a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
3,80ae73dfb4c45e8d,True,0.5,0.0,1.0,1.0,0.9416089003817075,0.0,1.0,1.0,1.0,0.0
4,473a047c10f45ef3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
5,453bdd4f77af5c90,True,1.0,1.0,1.0,1.0,0.43878624969024155,1.0,1.0,1.0,0.0,0.6996207030282005
6,135ae32b6edc55c5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,e917a198bd9757a4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,5d3e45ad38ef5b9c,True,1.0,0.0,1.0,1.0,0.9515984276445414,1.0,1.0,1.0,,0.0
9,f2280f25f98852c0,True,1.0,1.0,1.0,1.0,0.4425491836242609,1.0,1.0,1.0,0.0,0.7007966198825815
10,e96f254899095cf1,True,1.0,1.0,1.0,1.0,0.6359701908806135,1.0,1.0,1.0,1.0,0.8862406846501917
11,a25711b4fdcc50df,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
12,808e5edcddce51c3,True,1.0,1.0,1.0,1.0,0.4905102581227777,1.0,1.0,1.0,0.0,0.715784455663368
13,4606b66d9fe75354,True,1.0,1.0,1.0,1.0,0.6208846428435159,1.0,1.0,1.0,0.0,0.7565264508885987
14,dc2d59ce7b1258cf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
15,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
16,e8f5c2714bfe5213,True,1.0,0.0,1.0,1.0,0.9908755860151196,1.0,1.0,1.0,1.0,0.0
17,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
18,52de85cf514f5afd,True,0.0,0.0,0.5,1.0,0.9972361902074042,0.0,1.0,1.0,0.0,0.0
19,f6195258cc20552f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
20,5ee6f86b7dec5484,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,f587b097f5f65db6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,4020785f2bf55d0b,True,1.0,1.0,1.0,1.0,0.9599029030823724,1.0,0.0,1.0,0.0,0.7374696572132413
24,210e056a17d1522d,True,1.0,1.0,1.0,1.0,0.8794986236922403,1.0,1.0,1.0,1.0,0.9623433199038252
25,6884907db45c5cad,True,1.0,0.0,1.0,1.0,0.9264003773394974,1.0,1.0,1.0,1.0,0.0
26,2e21fba9a22851ae,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
27,5997813b7cc55036,True,1.0,1.0,1.0,1.0,0.9035943818810718,1.0,1.0,1.0,0.0,0.844873244337835
28,2087ff145dae502d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,435eadb0f1fe5b49,True,1.0,1.0,1.0,1.0,0.6471685968765492,1.0,1.0,1.0,0.0,0.7647401865239216
30,974a70027f8f593c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,93c36f72811852d3,True,1.0,0.0,1.0,1.0,0.9735889765409216,1.0,1.0,1.0,1.0,0.0
32,e57f09cee57d5ee1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
33,34f30283d3bd53ec,True,1.0,1.0,1.0,1.0,0.581385416436764,1.0,1.0,1.0,,0.8504947915845585
34,412e722526585e4a,True,1.0,1.0,1.0,1.0,0.7009406606833509,1.0,1.0,1.0,1.0,0.9065439564635471
