,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,55a584a116ec5e6d,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,14d171fcb9295596,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
2,0442b2728b8058fd,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3,f02b15cc225b5d9a,True,1.0,0.0,1.0,1.0,0.9859421163637634,1.0,1.0,1.0,,0.0
4,fb643a2514195bfa,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,2eb7c4dc6ec65123,True,1.0,1.0,1.0,1.0,0.6749580219195371,1.0,1.0,1.0,,0.8839135792569776
6,a6fd750fe57d5bb9,True,0.5,0.0,0.5,1.0,0.8070100963781343,0.0,0.0,1.0,1.0,0.0
7,4907817195ff5d6f,True,1.0,1.0,1.0,1.0,0.7670513569302082,1.0,0.0,1.0,1.0,0.80220354904069
8,6e821a856fe45177,True,1.0,1.0,1.0,1.0,0.8005776164006086,1.0,1.0,1.0,0.0,0.8126805051251902
9,7c75567759e15900,True,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
10,1ceec301ab6552b1,True,1.0,1.0,1.0,1.0,0.49469873319888824,1.0,1.0,1.0,0.0,0.7170933541246526
11,054743e97abd5b9c,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
12,78b4153a6d3e5b33,True,1.0,1.0,1.0,1.0,0.574205151411218,0.0,1.0,1.0,,0.490787554075435
13,218adf8c450058eb,True,1.0,1.0,1.0,1.0,0.23946293536772945,1.0,1.0,1.0,,0.7283796197741891
14,a6da1090aa335503,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
15,73e0459194ce577f,True,1.0,1.0,1.0,1.0,0.48896977279615106,1.0,1.0,1.0,0.0,0.7153030539987972
16,ff1a305b2c1752af,True,1.0,0.0,1.0,1.0,0.6588561066041531,1.0,1.0,1.0,1.0,0.0
17,025b657634505df3,True,0.0,0.0,0.0,1.0,0.860471009852767,0.0,0.0,1.0,0.0,0.0
18,9d87610ffed85509,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,d45773d48e4f5fb7,True,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0
20,91ae20bf459859fe,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
21,c5dfe79ae983556a,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
22,e16ed6e841ee58cd,True,1.0,1.0,1.0,1.0,0.46300240953048233,1.0,1.0,1.0,,0.8082151462608865
23,064018bfafb05f56,True,1.0,0.0,0.5,1.0,0.6507647225208726,1.0,0.0,1.0,1.0,0.0
24,f10d0ad9103c5495,True,0.0,0.0,0.0,1.0,0.9239359164606926,0.0,0.0,1.0,1.0,0.0
25,0c318d7923d15b78,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,0.0
26,0d5496cc08dc50fe,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
27,449f88cb93fe53d8,True,1.0,1.0,1.0,1.0,0.4152914586346622,1.0,1.0,1.0,0.0,0.6922785808233319
28,3e5bb75bed1d58ad,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29,ef7822ee7fa35042,True,0.0,0.0,0.0,1.0,0.9708981393386695,0.0,0.0,1.0,0.0,0.0
30,2aa9dce62cd75fce,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,b9c8a72571a85792,True,0.0,0.0,0.0,1.0,0.9205659992940549,0.0,0.0,1.0,1.0,0.0
32,fda9b858e7e4588f,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
33,c4f21fef5b86535b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,8c1e2438ad5f514a,True,1.0,0.0,1.0,1.0,0.7670524069152543,1.0,1.0,1.0,,0.0
35,fe71d216396c5ab3,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
36,82cd122751085a80,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
37,35f226ec4cac52fc,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
38,d44e6abed19b5ba5,True,0.0,1.0,1.0,1.0,0.3489339774547683,1.0,1.0,1.0,1.0,0.0
39,76ec850d346b5ca7,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
40,2eb2bc9d3b35584f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
41,153af25086535f35,True,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0
42,571bb034360052d9,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
43,2c67391395c65d6a,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
44,ed02d0df47ca55e7,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
45,59e4fc5b37f55556,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,9215555823945665,True,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0
47,14d112b14e9a5d5c,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
48,87751a071a7e50a4,True,0.0,0.0,0.0,1.0,0.7962671295148354,0.0,1.0,1.0,0.0,0.0
49,97fcdcd35af7563b,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
50,076e4afb95d057cf,True,1.0,0.0,0.5,1.0,0.6510846456552116,1.0,0.0,1.0,1.0,0.0
51,69610203b8c35c96,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
52,1d3700dc6c9950e0,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
53,f7103dfe59a959be,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54,673cfe7af7db5911,True,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
55,33b379cc74255b15,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,0.3042547092670683,1.0,1.0,1.0,1.0,0.7825795966459589
57,c4b1d4fabd315035,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
58,3a8a3a691f4450b5,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
59,81d893bd99de519b,True,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0
60,43ebecce459052f2,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
61,f2280f25f98852c0,True,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
