,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,808e5edcddce51c3,True,0.0,0.0,1.0,1.0,0.12230507707467611,0.0,0.0,0.0,0.0,0.0
1,a41f538fa8e25be0,True,1.0,0.0,0.5,1.0,0.2731076734592305,1.0,0.0,1.0,,0.0
2,9215555823945665,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11094634534c53fd,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
4,19488eb3301f5d26,True,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,,0.0
5,cf3b00d5d2b953d3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
6,cddadd26002959f4,True,0.0,1.0,1.0,1.0,0.1731196165078983,0.0,0.0,0.0,0.0,0.0
7,47bc25abb0705dc9,True,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,d08c7fa247395729,True,0.0,0.0,0.0,1.0,0.16720139655703892,0.0,0.0,0.0,0.0,0.0
9,785a51e5263b5bec,True,0.0,0.0,0.0,1.0,0.13632410787350094,0.0,1.0,0.0,0.0,0.0
10,fb643a2514195bfa,True,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,96bf2644106456f6,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2649dcc8a1725fb2,True,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4655358777d95867,True,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
14,14d171fcb9295596,True,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,,0.0
15,5a4709a2348f58a7,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,076e4afb95d057cf,True,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,3e5bb75bed1d58ad,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
18,f1dabe118a6955d6,True,0.0,1.0,1.0,1.0,0.24636724323982684,0.0,0.0,0.0,0.0,0.0
19,45878940b52550ea,True,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0
20,c86e7d3c0dfb57bd,True,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,7e5bb23808a850ca,True,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
22,865033089cfd5288,True,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,30f09e001cf55013,True,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,de31419c6502517b,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,359f62a656b9586d,True,0.0,0.0,1.0,1.0,0.03185230998519156,0.0,0.0,0.0,0.0,0.0
26,e0388cc13b635cd7,True,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
27,31cda9ad4b8257b9,True,0.0,1.0,1.0,1.0,0.24641998860869566,0.0,0.0,0.0,0.0,0.0
28,55a584a116ec5e6d,True,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
29,e9a26f1753a85a88,True,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
30,59a1d448fbdf53f6,True,0.5,0.0,0.0,1.0,0.3122595696574228,1.0,1.0,0.0,0.0,0.0
31,33b379cc74255b15,True,0.5,0.0,0.0,1.0,0.183116397582336,0.0,1.0,0.0,0.0,0.0
32,bc42935ebf1854f6,True,0.5,0.0,1.0,1.0,0.16460148992275905,0.0,1.0,0.0,0.0,0.0
33,455fdf27af915de2,True,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
34,2d4d48a048615f9a,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
35,7c75567759e15900,True,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
36,412e722526585e4a,True,0.0,1.0,1.0,1.0,0.14711938009316644,0.0,0.0,0.0,0.0,0.0
37,143420292ce554f6,True,1.0,1.0,1.0,1.0,0.24328835179959693,0.0,1.0,0.0,0.0,0.20102760993737404
38,2055bd0e7a885e4a,True,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,642ba15d21c05f4e,True,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
40,7fcd3691c57b5f49,True,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
41,29d982d97d135311,True,0.0,1.0,1.0,1.0,0.13924962061831506,0.0,1.0,0.0,0.0,0.0
42,e5caf6d750415ee7,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
43,3f664a7d5f5e5bba,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
44,644b16fd65f956b8,True,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0
45,77f0818999145e8f,True,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,08b29b05bc4650f8,True,1.0,0.0,1.0,1.0,0.3125563326239138,1.0,0.0,0.0,0.0,0.0
47,19efcf474dd85579,True,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,5dae1d43c2e55113,True,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,98017c16248a5f54,True,1.0,0.0,0.0,1.0,0.5780620309574749,1.0,1.0,0.0,,0.0
50,cdf51b82bae55641,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
51,e83be8437b0c5862,True,0.0,0.0,0.0,1.0,0.12014729895962047,0.0,1.0,0.0,,0.0
52,e8f5c2714bfe5213,True,0.0,0.0,0.5,1.0,0.5417550156917185,0.0,0.0,0.0,0.0,0.0
53,4a4ce3ba90ad5614,True,1.0,1.0,1.0,1.0,0.07788016447949243,1.0,0.0,0.0,,0.3849572015998187
54,b204289cd95c59b5,True,0.0,0.0,0.0,1.0,0.2581955016297702,0.0,0.0,0.0,0.0,0.0
55,198b7ec55c3b5a5c,True,0.5,0.0,0.5,1.0,0.1932170324243882,0.0,0.0,0.0,0.0,0.0
56,dcb8fbfc6c1d5fd6,True,0.5,0.0,0.5,1.0,0.5414812282371582,0.0,0.0,1.0,,0.0
