[server] variant=1.5 loading /home/irteam/ws/alpamayo_pruning/weights/Alpamayo-1.5-10B on cuda:3 ...
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 5/5 [00:00<00:00, 63.14it/s]
[server] loaded in 26.3s, VRAM=0.0 GB
[server] ready on tcp://127.0.0.1:5558
[server] inference ok 4.7s
[server] inference ok 4.3s
[server] inference ok 3.9s
[server] inference ok 4.4s
[server] inference ok 4.0s
[server] inference ok 3.7s
[server] inference ok 4.4s
[server] inference ok 4.4s
[server] inference ok 4.4s
[server] inference ok 4.3s
[server] inference ok 3.7s
[server] inference ok 3.8s
[server] inference ok 4.6s
[server] inference ok 4.1s
[server] inference ok 2.6s
[server] inference ok 5.1s
[server] inference ok 4.2s
[server] inference ok 3.9s
[server] inference ok 4.1s
[server] inference ok 4.5s
[server] inference ok 5.2s
[server] inference ok 4.8s
[server] inference ok 5.3s
[server] inference ok 4.0s
[server] inference ok 5.0s
[server] inference ok 4.3s
[server] inference ok 5.1s
[server] inference ok 4.3s
[server] inference ok 4.6s
[server] inference ok 4.4s
[server] inference ok 5.3s
[server] inference ok 4.3s
[server] inference ok 5.2s
[server] inference ok 4.8s
[server] inference ok 4.1s
[server] inference ok 5.4s
[server] inference ok 5.5s
[server] inference ok 4.8s
[server] inference ok 3.9s
[server] inference ok 4.2s
[server] inference ok 4.6s
[server] inference ok 4.9s
[server] inference ok 4.7s
[server] inference ok 4.9s
[server] inference ok 3.7s
[server] inference ok 4.3s
[server] inference ok 4.5s
[server] inference ok 4.8s
[server] inference ok 4.7s
[server] inference ok 4.2s
[server] inference ok 3.4s
[server] inference ok 5.3s
[server] inference ok 4.6s
[server] inference ok 5.7s
[server] inference ok 5.6s
[server] inference ok 3.3s
[server] inference ok 4.3s
[server] inference ok 4.3s
[server] inference ok 4.4s
[server] inference ok 5.1s
[server] inference ok 4.5s
[server] inference ok 4.6s
[server] inference ok 4.7s
[server] inference ok 5.1s
[server] inference ok 5.1s
[server] inference ok 5.0s
[server] inference ok 4.0s
[server] inference ok 4.6s
[server] inference ok 5.9s
[server] inference ok 4.9s
[server] inference ok 3.8s
[server] inference ok 4.9s
[server] inference ok 4.0s
[server] inference ok 3.7s
[server] inference ok 4.9s
[server] inference ok 5.7s
[server] inference ok 4.0s
[server] inference ok 4.8s
[server] inference ok 5.2s
[server] inference ok 4.1s
[server] inference ok 4.7s
[server] inference ok 3.3s
[server] inference ok 3.9s
[server] inference ok 3.3s
[server] inference ok 4.8s
[server] inference ok 2.8s
[server] inference ok 2.4s
[server] inference ok 2.4s
[server] inference ok 4.0s
[server] inference ok 3.1s
[server] inference ok 3.2s
[server] inference ok 4.0s
[server] inference ok 3.6s
[server] inference ok 3.0s
[server] inference ok 3.6s
[server] inference ok 1.8s
[server] inference ok 3.5s
[server] inference ok 2.6s
[server] inference ok 2.5s
[server] inference ok 2.0s
[server] inference ok 3.4s
[server] inference ok 3.0s
[server] inference ok 3.5s
[server] inference ok 3.9s
[server] inference ok 3.3s
[server] inference ok 3.3s
[server] inference ok 2.5s
[server] inference ok 4.2s
[server] inference ok 2.8s
[server] inference ok 3.3s
[server] inference ok 3.8s
[server] inference ok 2.8s
[server] inference ok 1.9s
[server] inference ok 4.0s
[server] inference ok 1.7s
[server] inference ok 4.1s
[server] inference ok 4.1s
[server] inference ok 3.0s
[server] inference ok 3.6s
[server] inference ok 2.9s
[server] inference ok 2.6s
[server] inference ok 4.6s
[server] inference ok 3.8s
[server] inference ok 2.7s
[server] inference ok 3.5s
[server] inference ok 4.6s
[server] inference ok 2.6s
[server] inference ok 3.3s
[server] inference ok 3.8s
[server] inference ok 3.5s
[server] inference ok 3.6s
[server] inference ok 3.4s
[server] inference ok 3.1s
[server] inference ok 3.4s
[server] inference ok 3.2s
[server] inference ok 3.4s
[server] inference ok 3.2s
[server] inference ok 3.2s
[server] inference ok 2.5s
[server] inference ok 2.4s
[server] inference ok 2.0s
[server] inference ok 2.1s
[server] inference ok 2.9s
[server] inference ok 3.7s
[server] inference ok 2.8s
[server] inference ok 2.5s
[server] inference ok 3.2s
[server] inference ok 4.9s
[server] inference ok 3.3s
[server] inference ok 3.5s
[server] inference ok 2.8s
[server] inference ok 3.4s
[server] inference ok 3.1s
[server] inference ok 2.6s
[server] inference ok 3.3s
[server] inference ok 2.1s
[server] inference ok 2.8s
[server] inference ok 2.2s
[server] inference ok 3.1s
[server] inference ok 1.8s
[server] inference ok 4.0s
[server] inference ok 3.6s
[server] inference ok 2.0s
[server] inference ok 1.4s
[server] inference ok 3.9s
[server] inference ok 2.8s
[server] inference ok 2.9s
[server] inference ok 2.0s
[server] inference ok 3.3s
[server] inference ok 2.5s
[server] inference ok 3.8s
[server] inference ok 3.6s
[server] inference ok 3.0s
[server] inference ok 3.5s
[server] inference ok 3.3s
[server] inference ok 3.2s
[server] inference ok 3.0s
[server] inference ok 3.8s
[server] inference ok 4.3s
[server] inference ok 2.8s
[server] inference ok 1.8s
[server] inference ok 3.1s
[server] inference ok 2.6s
[server] inference ok 1.6s
[server] inference ok 2.8s
[server] inference ok 2.3s
[server] inference ok 4.0s
[server] inference ok 3.3s
[server] inference ok 2.6s
[server] inference ok 2.6s
[server] inference ok 3.6s
[server] inference ok 3.2s
