,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,ac0fb7997f4e5106,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1,868b74972b4c59fd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,fe703fbf263151f2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,14d171fcb9295596,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
4,f6195258cc20552f,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
5,d5407856a57357ce,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
6,3e5bb75bed1d58ad,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
7,1f0f883695f05e6c,True,1.0,0.0,1.0,1.0,0.8292280454410661,1.0,1.0,1.0,1.0,0.0
8,24567f5ad57455c4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
9,2a8b9c88615450a8,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10,1d7fd5ffc1e3571c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,2c67391395c65d6a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
12,014369205e025f0c,True,1.0,1.0,1.0,1.0,0.8934025694375232,1.0,1.0,1.0,1.0,0.9666883029492259
13,93c36f72811852d3,True,1.0,0.0,1.0,1.0,0.9281193217833528,1.0,1.0,1.0,1.0,0.0
14,f587b097f5f65db6,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,08e8092f5e66571f,True,1.0,1.0,1.0,1.0,0.8637514601801113,1.0,1.0,1.0,1.0,0.9574223313062848
16,0b5b1309df2f5627,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
17,135ae32b6edc55c5,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
18,412e722526585e4a,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
19,a371624958cb52ea,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0
20,ae07b0ef14e25e47,True,1.0,1.0,1.0,1.0,0.9285149576073497,1.0,1.0,1.0,1.0,0.9776609242522968
21,e8f5c2714bfe5213,True,0.0,0.0,0.0,1.0,0.9876157786522366,0.0,1.0,1.0,1.0,0.0
22,c48cfa7c240d5808,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,534431abbbd75d4f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
24,34f30283d3bd53ec,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
25,4020785f2bf55d0b,True,1.0,0.0,1.0,1.0,0.8812022594652758,1.0,1.0,1.0,1.0,0.0
26,f2280f25f98852c0,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
27,a25711b4fdcc50df,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
28,d9fdaff6c17659bc,True,1.0,1.0,1.0,1.0,0.7671590085662454,1.0,1.0,1.0,1.0,0.9272371901769517
29,4606b66d9fe75354,True,1.0,1.0,1.0,1.0,0.7350784411417316,1.0,1.0,1.0,1.0,0.9172120128567911
30,4b594a8e80915943,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
31,435eadb0f1fe5b49,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
32,83fd1c194c0c5441,True,1.0,1.0,1.0,1.0,0.9285660137132267,1.0,1.0,1.0,,0.9744878620404381
33,52de85cf514f5afd,True,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
34,2e21fba9a22851ae,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,31cda9ad4b8257b9,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
36,6894aab92b0058dd,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
37,6370add5182e51b7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,974a70027f8f593c,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
39,5997813b7cc55036,True,1.0,1.0,1.0,1.0,0.9026640936282115,1.0,1.0,1.0,1.0,0.969582529258816
40,812464919a4f5362,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,f10d0ad9103c5495,True,0.0,0.0,0.0,1.0,0.9527204873117724,0.0,0.0,1.0,1.0,0.0
42,ff5e13b14d735e52,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
43,d6fc32608ecc581c,True,1.0,0.0,1.0,1.0,0.828251025714457,1.0,1.0,1.0,1.0,0.0
44,901722c88ebf50ea,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
45,6280a12d79b4518a,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
46,23d70775af9754e8,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
