,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,daf715295e7d576b,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1,435eadb0f1fe5b49,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2,c9b12b21fa7c57fd,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0
3,3bcb5a54eca95746,True,1.0,1.0,1.0,1.0,0.5909045264807127,1.0,1.0,1.0,0.0,0.7471576645252227
4,274fc7077c1b55d4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
5,153af25086535f35,True,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6,e96f254899095cf1,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
7,431ae29947e95c26,True,1.0,1.0,1.0,1.0,0.35026711218943146,1.0,1.0,1.0,,0.7679525400676541
8,e5b0b2c83a395163,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5
9,ff5e13b14d735e52,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10,83fd1c194c0c5441,True,1.0,0.0,0.5,1.0,0.8169797356637809,1.0,1.0,1.0,,0.0
11,865033089cfd5288,True,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
12,cdec001a2536542c,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
13,48271cdeceb35236,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
14,a6da1090aa335503,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
15,e8f5c2714bfe5213,True,0.0,0.0,0.0,1.0,0.9944584013153747,0.0,0.0,1.0,1.0,0.0
16,ea8b66a838c75042,True,1.0,1.0,1.0,1.0,0.6122964726177197,0.0,1.0,1.0,0.0,0.44134264769303744
17,7fcd3691c57b5f49,True,1.0,0.0,0.0,1.0,0.9191801671076791,1.0,1.0,0.0,1.0,0.0
18,808e5edcddce51c3,True,0.5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
19,33b379cc74255b15,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,ff1a305b2c1752af,True,1.0,0.0,0.5,1.0,0.6924959334415469,1.0,1.0,1.0,1.0,0.0
21,e10a3a8d627e5700,True,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
22,fda9b858e7e4588f,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,2eb7c4dc6ec65123,True,1.0,1.0,1.0,1.0,0.8092939923645619,1.0,1.0,1.0,,0.9318907115587721
24,469dfe790903577a,True,1.0,0.0,1.0,1.0,0.6923770449428356,1.0,1.0,1.0,1.0,0.0
25,210e056a17d1522d,True,1.0,1.0,1.0,1.0,0.45350108850540866,1.0,1.0,1.0,1.0,0.8292190901579402
26,463c7c8c669d57cf,True,1.0,0.0,0.0,1.0,0.9385836853232119,1.0,0.0,1.0,0.0,0.0
27,562f38636f975be4,True,1.0,1.0,1.0,1.0,0.6935465515613941,1.0,1.0,1.0,0.0,0.7792332973629357
28,064018bfafb05f56,True,1.0,0.0,0.5,1.0,0.6791998940321711,1.0,0.0,1.0,1.0,0.0
29,135ae32b6edc55c5,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
30,402c9312982a5488,True,0.0,1.0,1.0,1.0,0.6993356579372038,0.0,1.0,1.0,1.0,0.0
31,3f664a7d5f5e5bba,True,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
32,a0e9cbedca0a56b7,True,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0
33,a6fd750fe57d5bb9,True,0.5,0.0,0.5,1.0,0.8543880411372007,0.0,0.0,1.0,1.0,0.0
34,bcd26bf1bf055164,True,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
35,7e5bb23808a850ca,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
36,359f62a656b9586d,True,1.0,0.0,0.0,1.0,0.9176489523668208,1.0,0.0,1.0,1.0,0.0
37,6fed9368351f54d5,True,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0
38,e9a26f1753a85a88,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
39,644b16fd65f956b8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
40,3debd3d86b5850dd,True,1.0,1.0,1.0,1.0,0.5403939394869781,1.0,1.0,1.0,0.0,0.7313731060896806
41,5b21d7acaa545a46,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,7c75567759e15900,True,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
43,4a71a24c376f5388,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
44,054743e97abd5b9c,True,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
45,44062179c5b350bc,True,0.0,0.0,0.0,1.0,0.8488346836242651,0.0,1.0,1.0,0.0,0.0
46,c42677f7e56f5c3f,True,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
