[server] inference ok 2.1s
[server] inference ok 1.8s
[server] inference ok 2.0s
[server] inference ok 2.1s
[server] inference ok 1.7s
[server] inference ok 2.0s
[server] inference ok 2.9s
[server] inference ok 2.0s
[server] inference ok 2.1s
[server] inference ok 2.1s
[server] inference ok 2.2s
[server] inference ok 2.0s
[server] inference ok 1.6s
[server] inference ok 1.8s
[server] inference ok 3.1s
[server] inference ok 2.3s
[server] inference ok 2.3s
[server] inference ok 2.2s
[server] inference ok 2.0s
[server] inference ok 2.2s
[server] inference ok 2.0s
[server] inference ok 1.8s
[server] inference ok 2.1s
[server] inference ok 2.4s
[server] inference ok 2.2s
[server] inference ok 1.8s
[server] inference ok 1.9s
[server] inference ok 2.4s
[server] inference ok 2.2s
[server] inference ok 2.6s
[server] inference ok 2.0s
[server] inference ok 2.4s
[server] inference ok 1.9s
[server] inference ok 2.1s
[server] inference ok 1.7s
[server] inference ok 2.1s
[server] inference ok 1.9s
[server] inference ok 1.8s
[server] inference ok 2.2s
[server] inference ok 1.9s
[server] inference ok 2.1s
[server] inference ok 2.6s
[server] inference ok 3.2s
[server] inference ok 2.0s
[server] inference ok 12.8s
[server] inference ok 13.8s
[server] inference ok 10.1s
[server] inference ok 11.1s
[server] inference ok 12.0s
[server] inference ok 10.4s
[server] inference ok 10.1s
[server] inference ok 12.1s
[server] inference ok 10.6s
[server] inference ok 11.6s
[server] inference ok 9.5s
[server] inference ok 9.4s
[server] inference ok 10.3s
[server] inference ok 11.6s
[server] inference ok 12.0s
[server] inference ok 9.2s
[server] inference ok 11.3s
[server] inference ok 11.3s
[server] inference ok 10.4s
[server] inference ok 10.3s
[server] inference ok 11.1s
[server] inference ok 8.6s
[server] inference ok 9.3s
[server] inference ok 12.0s
[server] inference ok 11.7s
[server] inference ok 10.7s
[server] inference ok 9.7s
[server] inference ok 10.9s
[server] inference ok 10.0s
[server] inference ok 13.5s
[server] inference ok 10.6s
[server] inference ok 11.8s
[server] inference ok 11.2s
[server] inference ok 11.1s
[server] inference ok 12.2s
[server] inference ok 12.2s
[server] inference ok 11.4s
[server] inference ok 10.6s
[server] inference ok 10.6s
[server] inference ok 6.8s
[server] inference ok 8.8s
[server] inference ok 10.2s
[server] inference ok 11.1s
[server] inference ok 10.0s
[server] inference ok 9.6s
[server] inference ok 11.6s
[server] inference ok 8.0s
[server] inference ok 10.6s
[server] inference ok 9.8s
[server] inference ok 11.2s
[server] inference ok 10.0s
[server] inference ok 10.0s
[server] inference ok 13.1s
[server] inference ok 9.5s
[server] inference ok 7.4s
[server] inference ok 6.1s
[server] inference ok 6.8s
[server] inference ok 6.6s
[server] inference ok 6.4s
[server] inference ok 6.1s
[server] inference ok 8.1s
[server] inference ok 5.8s
[server] inference ok 6.5s
[server] inference ok 6.6s
[server] inference ok 6.4s
[server] inference ok 7.0s
[server] inference ok 6.0s
[server] inference ok 5.7s
[server] inference ok 8.6s
[server] inference ok 6.5s
[server] inference ok 8.1s
[server] inference ok 11.4s
[server] inference ok 8.8s
[server] inference ok 9.7s
[server] inference ok 10.5s
[server] inference ok 7.9s
[server] inference ok 7.7s
[server] inference ok 8.8s
[server] inference ok 8.5s
[server] inference ok 9.5s
[server] inference ok 10.5s
[server] inference ok 9.3s
[server] inference ok 13.8s
[server] inference ok 8.9s
[server] inference ok 12.3s
[server] inference ok 10.1s
[server] inference ok 10.8s
[server] inference ok 10.8s
[server] inference ok 9.9s
[server] inference ok 9.7s
[server] inference ok 11.0s
[server] inference ok 11.6s
[server] inference ok 11.3s
[server] inference ok 10.4s
[server] inference ok 10.9s
[server] inference ok 8.8s
[server] inference ok 12.7s
[server] inference ok 9.5s
[server] inference ok 11.0s
[server] inference ok 10.5s
[server] inference ok 13.1s
[server] inference ok 9.9s
[server] inference ok 14.4s
[server] inference ok 10.9s
[server] inference ok 10.4s
[server] inference ok 9.5s
[server] inference ok 13.0s
[server] inference ok 11.4s
[server] inference ok 10.1s
[server] inference ok 10.6s
[server] inference ok 11.6s
[server] inference ok 11.2s
[server] inference ok 11.4s
[server] inference ok 10.2s
[server] inference ok 9.5s
[server] inference ok 10.2s
[server] inference ok 11.1s
[server] inference ok 9.3s
[server] inference ok 10.9s
[server] inference ok 10.6s
[server] inference ok 10.5s
[server] inference ok 8.8s
[server] inference ok 10.5s
[server] inference ok 10.9s
[server] inference ok 9.7s
[server] inference ok 10.6s
[server] inference ok 10.1s
[server] inference ok 13.0s
[server] inference ok 11.6s
[server] inference ok 8.8s
[server] inference ok 7.2s
[server] inference ok 9.8s
[server] inference ok 10.7s
[server] inference ok 11.7s
[server] inference ok 12.8s
[server] inference ok 9.6s
[server] inference ok 10.9s
[server] inference ok 10.8s
[server] inference ok 10.6s
[server] inference ok 10.7s
[server] inference ok 10.9s
[server] inference ok 9.3s
[server] inference ok 13.6s
[server] inference ok 9.2s
[server] inference ok 10.3s
[server] inference ok 9.6s
[server] inference ok 11.4s
[server] inference ok 9.7s
[server] inference ok 12.2s
[server] inference ok 9.8s
[server] inference ok 8.8s
[server] inference ok 8.2s
[server] inference ok 9.3s
[server] inference ok 8.9s
[server] inference ok 9.9s
[server] inference ok 13.0s
[server] inference ok 13.3s
[server] inference ok 10.6s
[server] inference ok 11.5s
[server] inference ok 10.9s
[server] inference ok 9.4s
[server] inference ok 10.7s
[server] inference ok 10.0s
[server] inference ok 9.5s
[server] inference ok 9.6s
[server] inference ok 11.1s
[server] inference ok 10.4s
[server] inference ok 16.5s
[server] inference ok 9.1s
[server] inference ok 10.5s
[server] inference ok 10.6s
[server] inference ok 12.3s
[server] inference ok 9.7s
[server] inference ok 11.1s
[server] inference ok 9.9s
[server] inference ok 10.4s
[server] inference ok 9.4s
[server] inference ok 9.9s
[server] inference ok 11.8s
[server] inference ok 9.7s
[server] inference ok 11.3s
[server] inference ok 10.8s
[server] inference ok 9.7s
[server] inference ok 10.2s
[server] inference ok 10.1s
[server] inference ok 10.4s
[server] inference ok 12.6s
[server] inference ok 10.1s
[server] inference ok 11.4s
[server] inference ok 10.7s
[server] inference ok 10.6s
[server] inference ok 8.7s
[server] inference ok 9.0s
[server] inference ok 9.3s
[server] inference ok 10.4s
[server] inference ok 7.5s
[server] inference ok 6.3s
[server] inference ok 6.8s
[server] inference ok 6.0s
[server] inference ok 6.8s
[server] inference ok 6.2s
[server] inference ok 8.7s
[server] inference ok 6.2s
[server] inference ok 6.5s
[server] inference ok 6.2s
[server] inference ok 7.1s
[server] inference ok 6.3s
[server] inference ok 6.5s
[server] inference ok 6.8s
[server] inference ok 6.2s
[server] inference ok 6.3s
[server] inference ok 6.9s
[server] inference ok 11.9s
[server] inference ok 14.6s
[server] inference ok 8.0s
[server] inference ok 9.1s
[server] inference ok 6.4s
[server] inference ok 6.9s
[server] inference ok 5.6s
[server] inference ok 5.6s
[server] inference ok 6.4s
[server] inference ok 6.6s
[server] inference ok 7.3s
[server] inference ok 7.0s
[server] inference ok 8.0s
[server] inference ok 5.5s
[server] inference ok 6.1s
[server] inference ok 6.4s
[server] inference ok 6.1s
[server] inference ok 6.0s
[server] inference ok 6.9s
[server] inference ok 5.9s
[server] inference ok 7.0s
[server] inference ok 6.7s
[server] inference ok 6.9s
[server] inference ok 6.3s
[server] inference ok 6.2s
[server] inference ok 6.4s
[server] inference ok 6.8s
[server] inference ok 6.3s
[server] inference ok 6.2s
[server] inference ok 6.3s
[server] inference ok 7.4s
[server] inference ok 6.2s
[server] inference ok 6.3s
[server] inference ok 5.7s
[server] inference ok 6.0s
[server] inference ok 7.1s
[server] inference ok 8.1s
[server] inference ok 5.6s
[server] inference ok 6.9s
[server] inference ok 5.9s
[server] inference ok 6.2s
[server] inference ok 6.2s
[server] inference ok 5.7s
[server] inference ok 5.5s
[server] inference ok 5.6s
[server] inference ok 8.0s
[server] inference ok 6.4s
[server] inference ok 7.0s
[server] inference ok 6.2s
[server] inference ok 6.4s
[server] inference ok 6.3s
[server] inference ok 6.9s
[server] inference ok 6.3s
[server] inference ok 6.3s
[server] inference ok 6.0s
[server] inference ok 7.1s
[server] inference ok 7.4s
[server] inference ok 5.8s
[server] inference ok 6.0s
[server] inference ok 7.1s
[server] inference ok 6.4s
[server] inference ok 6.4s
[server] inference ok 6.6s
[server] inference ok 6.3s
[server] inference ok 5.8s
[server] inference ok 6.1s
[server] inference ok 6.9s
[server] inference ok 5.4s
[server] inference ok 6.5s
[server] inference ok 6.0s
[server] inference ok 6.0s
[server] inference ok 7.5s
[server] inference ok 7.1s
[server] inference ok 6.0s
[server] inference ok 6.4s
[server] inference ok 6.3s
[server] inference ok 5.9s
[server] inference ok 5.8s
[server] inference ok 6.4s
[server] inference ok 6.4s
[server] inference ok 7.4s
[server] inference ok 7.2s
