,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,e805310ff3055efa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,e10a3a8d627e5700,True,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2,05929f9dc5d152a7,True,1.0,1.0,1.0,1.0,0.19196531277053003,1.0,1.0,1.0,1.0,0.7474891602407907
3,e83be8437b0c5862,True,1.0,1.0,1.0,1.0,0.9666813375435757,1.0,1.0,1.0,,0.9881004776941342
4,c5dfe79ae983556a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,88642e4f16be55bd,True,1.0,1.0,1.0,1.0,0.6175151745522613,0.0,1.0,0.0,0.0,0.3179734920475817
6,48271cdeceb35236,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,5f3fbfc334c0579c,True,1.0,1.0,1.0,1.0,0.8867636925921407,1.0,1.0,1.0,0.0,0.839613653935044
8,1c5019f2bc6052d6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
9,9f97b9c20ffc50b5,True,1.0,1.0,1.0,1.0,0.8857745113548975,1.0,1.0,1.0,1.0,0.9643045347984054
10,98017c16248a5f54,True,1.0,1.0,1.0,1.0,0.8505655362709836,1.0,1.0,1.0,,0.9466305486682085
11,1f0f883695f05e6c,True,1.0,1.0,1.0,1.0,0.6977206439924721,1.0,1.0,1.0,1.0,0.9055377012476475
12,bff29edb43425586,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,454e63f98e365a3a,True,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,e7d1f889fc4d5309,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.875
15,2d305230053e5e19,True,1.0,1.0,1.0,1.0,0.9075697704133305,1.0,1.0,1.0,1.0,0.9711155532541658
16,77f0818999145e8f,True,0.5,0.0,0.5,1.0,0.8262035324584012,0.0,0.0,1.0,1.0,0.0
17,583f7d0d8b27513c,True,1.0,0.0,0.0,1.0,0.8097369556069371,1.0,1.0,1.0,0.0,0.0
18,456ef599efa85659,True,1.0,1.0,1.0,1.0,0.9293048446583486,1.0,1.0,1.0,1.0,0.9779077639557339
19,45102df6530d59e8,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
20,901722c88ebf50ea,True,1.0,1.0,1.0,1.0,0.8053765427982418,1.0,1.0,1.0,1.0,0.9391801696244506
21,e41f13ed67485c54,True,1.0,1.0,1.0,1.0,0.9694567971422182,0.0,1.0,1.0,1.0,0.6779552491069432
22,de28290571ec523a,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
23,7ffaa3cf8bf45474,True,0.0,1.0,1.0,1.0,0.11828299583996504,1.0,1.0,1.0,1.0,0.0
