,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort,score
0,b23f49937a48507e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,b42af31e8e9b596d,True,0.5,0.0,1.0,1.0,0.8361167077457505,0.0,1.0,1.0,1.0,0.0
2,7fb4ab2c7e8c527f,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,80d8679b8c215769,True,1.0,1.0,1.0,1.0,0.5745627993548874,1.0,1.0,1.0,0.0,0.7420508747984023
4,290a914d4ef15443,True,1.0,1.0,1.0,1.0,0.65062021711403,1.0,1.0,1.0,,0.8752215061121535
5,d58a453c3f155916,True,1.0,1.0,1.0,1.0,0.7530099694750481,1.0,1.0,1.0,1.0,0.9228156154609526
6,4020785f2bf55d0b,True,1.0,1.0,1.0,1.0,0.5759270425888743,1.0,1.0,1.0,0.0,0.7424772008090232
7,db180d0c665454aa,True,1.0,1.0,1.0,1.0,0.8688201018727562,1.0,1.0,1.0,0.0,0.8340062818352363
8,d90cd23a434f5c55,True,1.0,1.0,1.0,1.0,0.8803893916815082,1.0,1.0,1.0,,0.9572819256005386
9,fd9b227cec3d5c3f,True,1.0,1.0,1.0,1.0,0.7151825573851119,1.0,1.0,1.0,0.0,0.7859945491828475
10,c6ef6a6fcd2c5466,True,1.0,1.0,1.0,1.0,0.7871805296640766,1.0,1.0,1.0,0.0,0.8084939155200239
11,1719439969a55cc6,True,1.0,1.0,1.0,1.0,0.9809938675651123,1.0,1.0,1.0,,0.9932120955589687
12,f2280f25f98852c0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
13,29b49b3e2c0f5ec2,True,1.0,1.0,1.0,1.0,0.8281378685868174,1.0,1.0,1.0,0.0,0.8212930839333804
14,a6fd750fe57d5bb9,True,0.5,0.0,1.0,1.0,0.46614172702447415,0.0,0.0,1.0,0.0,0.0
15,75f9d978b4d757a2,True,1.0,1.0,1.0,1.0,0.5302820238827506,1.0,1.0,1.0,0.0,0.7282131324633596
16,0a51eebaccc95c36,True,1.0,1.0,1.0,1.0,0.5032074582168469,1.0,1.0,1.0,0.0,0.7197523306927647
17,61e3a4acbdf55ffe,True,1.0,1.0,1.0,1.0,0.5902060945676402,1.0,1.0,1.0,1.0,0.8719394045523876
18,1e241714a35658ff,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,2e8c4827d8c757a3,True,1.0,1.0,1.0,1.0,0.5231322379057821,1.0,1.0,1.0,0.0,0.7259788243455569
20,20f825e0d33a5160,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,1ceec301ab6552b1,True,1.0,1.0,1.0,1.0,0.5983929781687726,1.0,1.0,1.0,0.0,0.7494978056777415
